Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1638044090497,5499.40087890625,-29526.4765625,-1994.9378662109375,-32943.5,-18832.640625,-10660.5302734375,0,-22585.990234375,RestSSVEP
1638044090497,5501.2783203125,-29523.14453125,-1992.009765625,-32939.4765625,-18836.6640625,-10655.9482421875,0,-22587.755859375,RestSSVEP
1638044090497,5507.134765625,-29517.646484375,-1986.220703125,-32934.71484375,-18838.296875,-10652.3720703125,0,-22586.794921875,RestSSVEP
1638044090497,5498.61865234375,-29524.798828125,-1994.2003173828125,-32941.3984375,-18850.634765625,-10660.150390625,0,-22599.2890625,RestSSVEP
1638044090498,5497.5009765625,-29526.9453125,-1992.7921142578125,-32939.1171875,-18841.984375,-10657.177734375,0,-22591.154296875,RestSSVEP
1638044090498,5495.310546875,-29531.28125,-2005.1302490234375,-32945.17578125,-18851.037109375,-10663.927734375,0,-22582.794921875,RestSSVEP
1638044090498,5501.4794921875,-29522.1171875,-1990.4898681640625,-32936.94921875,-18843.884765625,-10659.033203125,0,-22582.705078125,RestSSVEP
1638044090498,5499.6689453125,-29522.318359375,-1986.3548583984375,-32937.73046875,-18843.146484375,-10660.91015625,0,-22584.001953125,RestSSVEP
1638044090498,5499.37841796875,-29523.48046875,-1986.73486328125,-32938.8046875,-18842.23046875,-10661.6923828125,0,-22593.947265625,RestSSVEP
1638044090498,5501.501953125,-29521.513671875,-1989.171142578125,-32936.94921875,-18844.353515625,-10658.09375,0,-22593.658203125,RestSSVEP
1638044090530,5502.6640625,-29521.1328125,-1990.579345703125,-32937.3515625,-18844.95703125,-10657.423828125,0,-22588.203125,RestSSVEP
1638044090530,5497.478515625,-29527.458984375,-1997.5531005859375,-32944.75,-18848.599609375,-10661.201171875,0,-22598.8203125,RestSSVEP
1638044090531,5496.919921875,-29526.85546875,-1987.561767578125,-32942.359375,-18846.8125,-10659.435546875,0,-22605.056640625,RestSSVEP
1638044090531,5494.6845703125,-29528.2421875,-1990.31103515625,-32944.37109375,-18855.619140625,-10660.462890625,0,-22611.181640625,RestSSVEP
1638044090531,5498.17138671875,-29521.044921875,-1985.0361328125,-32942.0234375,-18861.453125,-10661.4248046875,0,-22608.365234375,RestSSVEP
1638044090531,5498.21630859375,-29521.625,-1983.6949462890625,-32940.2578125,-18851.439453125,-10659.3232421875,0,-22596.361328125,RestSSVEP
1638044090531,5496.98681640625,-29526.251953125,-1982.7115478515625,-32940.81640625,-18849.650390625,-10658.6748046875,0,-22586.4609375,RestSSVEP
1638044090532,5496.6962890625,-29526.921875,-1977.615234375,-32938.1328125,-18834.228515625,-10653.310546875,0,-22589.3203125,RestSSVEP
1638044090532,5496.1376953125,-29525.9609375,-1982.2420654296875,-32940.5703125,-18839.345703125,-10657.8701171875,0,-22603.447265625,RestSSVEP
1638044090532,5501.45703125,-29519.5234375,-1974.7989501953125,-32934.66796875,-18839.14453125,-10651.2099609375,0,-22601.79296875,RestSSVEP
1638044090559,5514.0859375,-29502.044921875,-1956.3140869140625,-32920.8125,-18825.95703125,-10638.6259765625,0,-22600.876953125,RestSSVEP
1638044090559,5508.05078125,-29509.466796875,-1969.14404296875,-32927.78515625,-18840.642578125,-10647.275390625,0,-22604.251953125,RestSSVEP
1638044090559,5505.56982421875,-29512.1484375,-1974.0390625,-32931.71875,-18851.685546875,-10655.61328125,0,-22594.126953125,RestSSVEP
1638044090560,5495.60107421875,-29524.5078125,-1983.91845703125,-32938.984375,-18852.4453125,-10660.4853515625,0,-22600.876953125,RestSSVEP
1638044090560,5495.57861328125,-29519.189453125,-1981.571533203125,-32937.640625,-18858.904296875,-10660.91015625,0,-22598.931640625,RestSSVEP
1638044090560,5502.75341796875,-29508.572265625,-1969.3450927734375,-32928.65625,-18835.14453125,-10651.0751953125,0,-22585.611328125,RestSSVEP
1638044090560,5499.0654296875,-29514.896484375,-1968.8087158203125,-32931.25,-18838.51953125,-10652.841796875,0,-22582.68359375,RestSSVEP
1638044090560,5499.490234375,-29514.853515625,-1969.993408203125,-32932.16796875,-18842.587890625,-10655.8369140625,0,-22590.037109375,RestSSVEP
1638044090560,5495.35498046875,-29526.341796875,-1988.8358154296875,-32939.6328125,-18851.6171875,-10658.83203125,0,-22607.4921875,RestSSVEP
1638044090560,5497.4560546875,-29526.677734375,-1984.52197265625,-32937.328125,-18836.53125,-10652.3720703125,0,-22607.203125,RestSSVEP
1638044090611,5508.6767578125,-29506.11328125,-1956.783447265625,-32925.55078125,-18831.76953125,-10649.130859375,0,-22611.830078125,RestSSVEP
1638044090611,5506.03955078125,-29510.716796875,-1971.8038330078125,-32931.65234375,-18847.638671875,-10652.86328125,0,-22607.26953125,RestSSVEP
1638044090611,5503.6474609375,-29505.64453125,-1975.089599609375,-32932.63671875,-18858.14453125,-10655.4345703125,0,-22605.59375,RestSSVEP
1638044090611,5509.6826171875,-29504.90625,-1958.8621826171875,-32922.109375,-18831.9921875,-10646.359375,0,-22598.865234375,RestSSVEP
1638044090612,5505.14501953125,-29512.39453125,-1970.775634765625,-32926.7578125,-18842.07421875,-10649.8017578125,0,-22599.201171875,RestSSVEP
1638044090612,5498.43994140625,-29519.189453125,-1977.168212890625,-32932.43359375,-18858.189453125,-10656.931640625,0,-22600.1171875,RestSSVEP
1638044090612,5498.84228515625,-29517.69140625,-1972.4296875,-32928.34375,-18843.548828125,-10652.7744140625,0,-22591.890625,RestSSVEP
1638044090612,5509.21337890625,-29504.705078125,-1960.248046875,-32917.546875,-18822.60546875,-10642.3583984375,0,-22598.865234375,RestSSVEP
1638044090614,5503.6474609375,-29509.376953125,-1968.5181884765625,-32925.953125,-18848.041015625,-10651.142578125,0,-22603.068359375,RestSSVEP
1638044090614,5498.57373046875,-29517.423828125,-1977.771728515625,-32933.05859375,-18852.935546875,-10654.2275390625,0,-22596.853515625,RestSSVEP
1638044090683,5498.1044921875,-29521,-1981.92919921875,-32948.953125,-18876.0703125,-10673.2265625,0,-22602.44140625,RestSSVEP
1638044090684,5508.22998046875,-29510.248046875,-1954.0118408203125,-32933.44140625,-18848.0859375,-10658.2724609375,0,-22620.189453125,RestSSVEP
1638044090684,5502.865234375,-29514.3828125,-1951.799072265625,-32935.921875,-18836.306640625,-10658.4072265625,0,-22620.2109375,RestSSVEP
1638044090684,5497.99267578125,-29515.2109375,-1961.2314453125,-32941.91015625,-18843.369140625,-10662.4970703125,0,-22626.849609375,RestSSVEP
1638044090684,5495.37744140625,-29516.439453125,-1972.2508544921875,-32947.7890625,-18855.193359375,-10671.9970703125,0,-22645.916015625,RestSSVEP
1638044090684,5500.3173828125,-29512.326171875,-1964.1595458984375,-32943.72265625,-18853.853515625,-10668.7333984375,0,-22670.345703125,RestSSVEP
