Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1638044675012,6112.576171875,-32118.80859375,-6484.2412109375,-32753.75390625,-22880.85546875,-10870.4130859375,0,-5997.39794921875,RestSSVEP
1638044675012,6090.0234375,-32144.357421875,-6511.197265625,-32778.65625,-22908.16796875,-10892.2060546875,0,-6008.10400390625,RestSSVEP
1638044675012,6110.72119140625,-32128.576171875,-6492.376953125,-32758.0234375,-22897.6640625,-10868.0888671875,0,-5980.4326171875,RestSSVEP
1638044675012,6116.9794921875,-32117.1328125,-6477.0439453125,-32755.296875,-22891.806640625,-10868.6923828125,0,-5992.8603515625,RestSSVEP
1638044675012,6112.017578125,-32126.630859375,-6486.14111328125,-32764.7734375,-22905.93359375,-10877.9677734375,0,-5997.6435546875,RestSSVEP
1638044675012,6095.54443359375,-32143.306640625,-6491.818359375,-32781.6484375,-22919.30078125,-10895.0224609375,0,-6009.98193359375,RestSSVEP
1638044675013,6117.4267578125,-32120.552734375,-6458.96142578125,-32759.208984375,-22895.025390625,-10871.9111328125,0,-5979.44921875,RestSSVEP
1638044675013,6120.31005859375,-32119.703125,-6456.50244140625,-32760.7734375,-22907.609375,-10874.0791015625,0,-5975.91748046875,RestSSVEP
1638044675013,6117.962890625,-32122.8984375,-6455.228515625,-32762.673828125,-22915.365234375,-10876.828125,0,-5999.90087890625,RestSSVEP
1638044675013,6086.11181640625,-32147.10546875,-6474.2275390625,-32790.8359375,-22928.84375,-10911.09375,0,-6024.0634765625,RestSSVEP
1638044675056,6120.53369140625,-32117.1328125,-6446.98046875,-32757.890625,-22901.798828125,-10878.2587890625,0,-5979.2255859375,RestSSVEP
1638044675056,6123.48388671875,-32116.70703125,-6450.84765625,-32752.7265625,-22900.279296875,-10869.3408203125,0,-5975.0458984375,RestSSVEP
1638044675056,6122.388671875,-32120.171875,-6449.6181640625,-32751.318359375,-22893.416015625,-10867.41796875,0,-5985.95361328125,RestSSVEP
1638044675056,6090.13525390625,-32150.078125,-6479.74853515625,-32781.15625,-22913.712890625,-10893.8154296875,0,-6030.4560546875,RestSSVEP
1638044675056,6101.3779296875,-32136.9140625,-6472.2158203125,-32770.4296875,-22915.365234375,-10883.064453125,0,-5998.11279296875,RestSSVEP
1638044675057,6130.546875,-32116.037109375,-6456.16748046875,-32747.00390625,-22905.7109375,-10859.751953125,0,-5978.13037109375,RestSSVEP
1638044675057,6116.08544921875,-32125.40234375,-6463.27490234375,-32757.3984375,-22887.896484375,-10868.06640625,0,-6000.2587890625,RestSSVEP
1638044675057,6107.234375,-32131.056640625,-6478.0048828125,-32770.2265625,-22905.666015625,-10883.5341796875,0,-6001.55517578125,RestSSVEP
1638044675057,6109.15625,-32133.470703125,-6485.9619140625,-32772.73046875,-22919.30078125,-10888.451171875,0,-5978.13037109375,RestSSVEP
1638044675057,6101.51220703125,-32142.099609375,-6491.572265625,-32779.97265625,-22914.248046875,-10892.4521484375,0,-5992.033203125,RestSSVEP
1638044675097,6082.0439453125,-32156.828125,-6503.28466796875,-32798.16796875,-22927.16796875,-10910.0654296875,0,-6010.76416015625,RestSSVEP
1638044675097,6103.61328125,-32137.181640625,-6479.70361328125,-32774.609375,-22901.28515625,-10886.998046875,0,-5990.669921875,RestSSVEP
1638044675097,6109.33544921875,-32133.8515625,-6478.34033203125,-32772.39453125,-22906.537109375,-10886.7080078125,0,-5999.52099609375,RestSSVEP
1638044675097,6085.86572265625,-32154.169921875,-6499.12744140625,-32796.40234375,-22935.884765625,-10911.9873046875,0,-6025.78466796875,RestSSVEP
1638044675097,6102.94287109375,-32140.154296875,-6479.591796875,-32778.07421875,-22914.517578125,-10891.0888671875,0,-5984.36669921875,RestSSVEP
1638044675097,6118.4326171875,-32129.6484375,-6468.68408203125,-32764.86328125,-22909.017578125,-10880.5166015625,0,-5988.0771484375,RestSSVEP
1638044675097,6099.65673828125,-32146.525390625,-6487.99609375,-32783.125,-22923.546875,-10899.5380859375,0,-6010.69677734375,RestSSVEP
1638044675097,6089.10693359375,-32154.99609375,-6489.87353515625,-32788.7109375,-22926.453125,-10904.2314453125,0,-6012.35107421875,RestSSVEP
1638044675097,6088.7939453125,-32155.666015625,-6489.5830078125,-32786.4765625,-22921.37890625,-10895.939453125,0,-6009.400390625,RestSSVEP
1638044675097,6092.5712890625,-32151.21875,-6491.70654296875,-32785.16015625,-22924.9765625,-10897.5703125,0,-6022.677734375,RestSSVEP
1638044675141,6119.6396484375,-32128.44140625,-6474.7861328125,-32762.158203125,-22906.603515625,-10878.884765625,0,-5999.029296875,RestSSVEP
