ECG,EMG,foot GSR,hand GSR,HR,RESP
-0.03,-0.0072,2.504,11.146,84.0,10.948
-0.026,-0.0033,2.512,11.136,84.0,10.958
-0.016,0.0019,2.514,11.127,84.0,10.982
-0.02,-0.003,2.519,11.116,84.0,11.002
-0.395,-0.002,2.522,11.101,84.0,11.026
0.007,-0.0109,2.524,11.086,84.0,11.064
0.059,-0.0091,2.527,11.073,84.0,11.09
0.047,-0.0022,2.531,11.057,84.0,11.118
-0.025,-0.0056,2.529,10.999,84.0,11.144
0.0,-0.0025,2.528,10.984,60.0,11.162
0.008,-0.0023,2.527,10.966,60.0,11.174
0.019,-0.0018,2.524,10.949,60.0,11.192
-0.371,0.0001,2.523,10.931,60.0,11.222
0.054,-0.0133,2.522,10.914,60.0,11.25
0.058,-0.0035,2.521,10.896,60.0,11.254
0.031,0.0003,2.517,10.878,60.0,11.212
0.011,-0.0168,2.516,10.862,60.0,10.964
0.016,-0.0096,2.513,10.847,60.0,10.97
0.01,-0.0092,2.511,10.832,60.0,10.978
0.004,0.0004,2.503,10.8,60.0,11.008
0.002,0.0095,2.501,10.785,60.0,11.034
-0.334,0.0071,2.498,10.769,60.0,11.058
0.004,-0.0076,2.494,10.754,44.0,11.062
0.094,-0.0089,2.489,10.74,44.0,11.066
0.113,-0.017,2.484,10.729,44.0,11.076
0.071,-0.01,2.48,10.715,44.0,11.078
0.139,-0.0078,2.475,10.704,44.0,11.058
0.191,-0.0034,2.472,10.691,44.0,11.036
0.195,-0.0039,2.471,10.678,44.0,11.008
0.14,-0.0051,2.469,10.667,44.0,10.978
0.15,0.0015,2.465,10.656,44.0,10.956
-0.171,-0.0135,2.461,10.644,44.0,10.938
0.135,-0.0094,2.457,10.634,44.0,10.946
0.174,-0.0071,2.452,10.624,44.0,10.942
0.177,-0.0012,2.446,10.609,44.0,10.93
0.126,-0.0069,2.442,10.603,44.0,10.89
0.136,-0.0037,2.439,10.598,44.0,10.838
0.133,-0.0032,2.435,10.596,44.0,10.78
0.13,-0.0026,2.431,10.594,44.0,10.642
0.12,-0.0082,2.43,10.593,44.0,10.598
-0.243,0.002,2.426,10.594,44.0,10.546
0.159,-0.0063,2.424,10.595,44.0,10.524
0.202,-0.0108,2.421,10.598,44.0,10.526
0.211,-0.0039,2.419,10.601,44.0,10.544
0.13,-0.004,2.416,10.605,44.0,10.57
0.135,-0.0057,2.414,10.608,44.0,10.614
0.127,-0.0106,2.411,10.613,44.0,10.67
0.108,-0.0044,2.41,10.616,44.0,10.726
0.104,-0.0056,2.409,10.62,44.0,10.764
0.098,-0.0004,2.406,10.621,44.0,10.816
-0.048,0.0019,2.404,10.623,44.0,10.892
-0.15,-0.0121,2.401,10.625,44.0,10.96
0.161,-0.0033,2.401,10.625,44.0,10.998
0.171,-0.0022,2.4,10.625,44.0,11.008
0.101,-0.0108,2.399,10.625,44.0,11.032
0.106,-0.0165,2.397,10.625,44.0,11.088
0.12,0.0083,2.396,10.626,44.0,11.164
0.085,-0.0109,2.396,10.625,44.0,11.242
0.062,-0.0099,2.392,10.627,44.0,11.328
0.052,-0.0054,2.391,10.63,44.0,11.394
0.077,-0.0022,2.391,10.626,44.0,11.442
-0.324,-0.0007,2.391,10.623,44.0,11.464
0.121,-0.0099,2.391,10.621,88.0,11.462
0.1,-0.0018,2.39,10.618,88.0,11.462
0.069,-0.0008,2.388,10.618,88.0,11.45
0.044,0.0022,2.385,10.615,88.0,11.422
0.015,-0.0039,2.384,10.615,88.0,11.372
0.025,-0.0062,2.382,10.611,88.0,11.312
0.1,0.0059,2.382,10.608,88.0,0.0
0.057,-0.0054,2.38,10.603,88.0,0.0
-0.115,0.0072,2.378,10.6,88.0,11.146
-0.164,-0.0055,2.377,10.598,88.0,11.12
0.11,-0.008,2.375,10.594,88.0,11.102
0.074,0.0021,2.374,10.588,88.0,11.092
-0.06,-0.0119,2.374,10.585,88.0,11.102
-0.04,-0.0127,2.372,10.585,88.0,11.11
-0.02,-0.0075,2.369,10.581,88.0,11.108
0.0,-0.0112,2.368,10.575,88.0,11.096
-0.006,-0.0063,2.367,10.567,88.0,11.088
-0.058,-0.0069,2.365,10.56,88.0,11.09
-0.063,-0.0061,2.363,10.556,88.0,11.104
-0.417,0.0076,2.362,10.551,88.0,11.108
-0.059,-0.0093,2.36,10.545,88.0,11.102
-0.077,-0.0049,2.358,10.539,88.0,11.092
-0.14,-0.0007,2.357,10.536,88.0,11.088
-0.124,-0.012,2.355,10.534,88.0,11.1
-0.116,-0.0059,2.354,10.529,88.0,11.13
-0.112,-0.005,2.352,10.525,88.0,11.134
-0.115,-0.0094,2.349,10.526,88.0,11.134
-0.121,0.0062,2.349,10.529,88.0,11.156
-0.412,-0.0019,2.347,10.534,88.0,11.174
-0.029,-0.0261,2.344,10.542,88.0,11.202
0.001,0.0216,2.344,10.556,88.0,11.234
-0.054,-0.0071,2.344,10.571,88.0,11.262
-0.048,-0.0188,2.343,10.591,88.0,11.268
-0.048,-0.008,2.34,10.612,88.0,11.264
-0.05,0.003,2.338,10.637,88.0,11.264
-0.038,-0.007,2.337,10.663,88.0,11.268
-0.012,-0.0174,2.337,10.691,88.0,11.274
-0.333,0.003,2.337,10.718,88.0,11.264
0.001,-0.0087,2.337,10.742,88.0,11.246
0.102,0.01,2.337,10.76,88.0,11.222
0.077,0.0129,2.337,10.782,88.0,11.192
-0.006,-0.0064,2.337,10.801,88.0,11.154
0.002,-0.0182,2.338,10.821,33.0,11.12
0.019,-0.0084,2.339,10.837,33.0,11.098
0.033,-0.0044,2.34,10.851,33.0,11.08
0.06,0.0098,2.342,10.862,33.0,11.062
0.075,0.0074,2.345,10.87,33.0,11.048
-0.301,0.0057,2.35,10.888,33.0,11.092
0.173,0.0037,2.353,10.893,33.0,11.162
0.168,0.0049,2.357,10.897,33.0,11.222
0.142,-0.011,2.36,10.901,33.0,11.224
0.225,-0.0266,2.363,10.903,33.0,11.246
0.212,-0.0072,2.365,10.902,33.0,11.318
0.149,0.0059,2.37,10.902,33.0,11.366
0.129,0.0117,2.373,10.903,33.0,11.352
0.18,0.0304,2.375,10.898,33.0,11.336
-0.176,0.0319,2.38,10.886,33.0,11.34
0.125,0.0426,2.382,10.877,33.0,11.362
0.197,-0.0061,2.385,10.872,33.0,11.416
0.212,-0.0403,2.388,10.867,33.0,11.496
0.158,-0.0301,2.391,10.863,33.0,11.576
0.17,-0.0093,2.391,10.866,33.0,11.61
0.196,-0.0143,2.394,10.864,33.0,11.6
0.183,-0.0225,2.394,10.861,33.0,11.528
0.143,-0.0252,2.396,10.861,33.0,11.432
0.11,-0.0231,2.396,10.859,33.0,11.342
-0.299,-0.0238,2.396,10.85,33.0,11.356
0.159,-0.0434,2.395,10.84,33.0,11.5
0.213,-0.0221,2.394,10.827,33.0,11.612
0.188,0.0045,2.394,10.806,33.0,11.496
0.149,0.0034,2.392,10.797,33.0,11.394
0.157,0.0035,2.391,10.8,33.0,11.336
0.14,-0.004,2.388,10.791,33.0,11.32
0.122,-0.007,2.387,10.782,33.0,11.346
0.107,0.0051,2.384,10.775,33.0,11.386
0.116,0.0065,2.383,10.769,33.0,11.464
-0.265,-0.0026,2.382,10.763,33.0,11.554
0.173,-0.0042,2.38,10.758,53.0,11.472
0.17,0.0012,2.379,10.753,53.0,11.296
0.113,0.0042,2.379,10.749,53.0,11.146
0.125,-0.0026,2.377,10.747,53.0,11.074
0.126,-0.0012,2.377,10.745,53.0,10.992
0.1,-0.0052,2.374,10.742,53.0,10.936
0.1,-0.0052,2.374,10.742,53.0,10.966
0.111,-0.0021,2.372,10.737,53.0,11.048
0.13,-0.0005,2.37,10.734,53.0,11.034
-0.343,-0.0056,2.369,10.734,53.0,10.998
0.159,-0.0082,2.367,10.733,53.0,10.924
0.169,-0.0078,2.367,10.729,53.0,10.816
0.121,-0.0036,2.367,10.727,53.0,10.742
0.112,-0.017,2.365,10.725,53.0,10.692
0.119,-0.0091,2.363,10.723,53.0,10.642
0.107,-0.0031,2.362,10.715,53.0,10.62
0.09,-0.004,2.359,10.713,53.0,10.626
0.088,0.0013,2.359,10.709,53.0,10.628
0.101,0.0011,2.357,10.705,53.0,10.646
0.128,0.0009,2.357,10.702,53.0,10.66
-0.309,0.0012,2.357,10.698,53.0,10.668
0.181,0.0002,2.357,10.695,76.0,10.65
0.168,-0.0024,2.358,10.692,76.0,10.622
0.113,-0.0014,2.36,10.688,76.0,10.582
