ECG,foot GSR,HR,marker,RESP
-0.603,1.802,74.99250074992501,0.0,11.574
-0.409,1.802,74.99250074992501,0.0,11.472
-0.405,1.802,77.99220077992202,0.0,11.388
-0.403,1.803,77.99220077992202,0.0,11.292
-0.386,1.798,77.99220077992202,0.0,11.234
-0.257,1.734,77.99220077992202,0.0,11.622
-0.117,1.735,77.99220077992202,0.0,11.628
-0.371,1.735,77.99220077992202,0.0,11.636
-0.292,1.734,77.99220077992202,0.0,11.65
-0.066,1.734,77.99220077992202,0.0,11.66
0.054,1.733,77.99220077992202,0.0,11.69
-0.392,1.733,77.99220077992202,0.0,11.744
-0.459,1.733,77.99220077992202,0.0,11.834
-0.482,1.73,77.99220077992202,0.0,11.902
-0.507,1.73,77.99220077992202,0.0,11.98
-0.517,1.73,77.99220077992202,0.0,12.074
-0.523,1.73,77.99220077992202,0.0,12.172
-0.524,1.73,77.99220077992202,0.0,12.27
-0.512,1.73,77.99220077992202,0.0,12.358
-0.518,1.73,77.99220077992202,0.0,12.448
-0.045,1.73,77.99220077992202,0.0,12.536
-0.504,1.729,77.99220077992202,0.0,12.618
-0.37,1.728,77.99220077992202,0.0,12.684
0.018,1.728,64.993500649935,0.0,12.738
0.044,1.728,64.993500649935,0.0,12.778
-0.317,1.726,64.993500649935,0.0,12.808
-0.42,1.725,64.993500649935,0.0,12.82
-0.425,1.725,64.993500649935,0.0,12.78
-0.43,1.725,64.993500649935,0.0,12.632
-0.42,1.725,64.993500649935,0.0,12.626
-0.406,1.725,64.993500649935,0.0,12.522
-0.396,1.725,64.993500649935,0.0,12.426
-0.366,1.725,64.993500649935,0.0,12.338
-0.174,1.725,64.993500649935,0.0,12.258
-0.118,1.725,64.993500649935,0.0,12.202
-0.308,1.724,64.993500649935,0.0,12.15
-0.197,1.723,64.993500649935,0.0,12.116
0.08,1.723,66.993300669933,0.0,12.1
0.179,1.723,66.993300669933,0.0,12.09
-0.262,1.72,66.993300669933,0.0,12.076
-0.295,1.72,66.993300669933,0.0,12.086
-0.296,1.72,66.993300669933,0.0,12.086
-0.299,1.72,66.993300669933,0.0,12.084
-0.296,1.72,66.993300669933,0.0,12.092
