ECG,foot GSR,hand GSR,HR,marker,RESP
-0.071,19.302,8.375,53.0,13.19,35.53
-0.076,19.319,8.371,53.0,13.2,35.54
-0.003,19.341,8.369,53.0,13.2,35.55
0.115,19.365,8.365,68.0,13.19,35.57
0.055,19.389,8.361,68.0,13.2,35.51
-0.069,19.416,8.359,68.0,13.12,34.48
-0.062,19.442,8.356,68.0,13.08,34.38
-0.079,19.469,8.353,68.0,13.09,34.31
-0.092,19.497,8.35,68.0,13.08,34.06
-0.079,19.524,8.348,68.0,13.09,33.96
-0.013,19.551,8.345,68.0,13.08,33.91
-0.104,19.579,8.343,68.0,13.08,33.89
0.154,19.605,8.34,68.0,13.09,33.88
-0.062,19.63,8.338,68.0,13.08,33.87
-0.024,19.655,8.334,68.0,13.08,33.84
0.06,19.68,8.333,68.0,13.08,33.81
0.163,19.703,8.33,68.0,13.08,33.78
0.027,19.726,8.328,68.0,13.08,33.78
-0.044,19.747,8.325,68.0,13.08,33.77
-0.044,19.767,8.323,73.0,13.08,33.78
-0.063,19.785,8.32,73.0,13.08,33.72
-0.075,19.803,8.319,73.0,13.08,33.58
-0.077,19.819,8.316,73.0,13.08,33.6
-0.076,19.834,8.313,73.0,13.08,33.57
-0.015,19.847,8.311,73.0,13.08,33.59
-0.05,19.86,8.309,73.0,13.08,33.59
0.015,19.869,8.306,73.0,13.08,33.6
0.084,19.879,8.304,73.0,13.08,33.58
-0.031,19.889,8.302,73.0,13.08,33.57
0.025,19.896,8.299,73.0,13.08,33.56
0.136,19.903,8.296,73.0,13.08,33.56
0.152,19.908,8.293,73.0,13.08,33.56
-0.013,19.913,8.291,73.0,13.08,33.57
-0.02,19.917,8.288,64.0,13.08,33.57
-0.029,19.92,8.284,64.0,13.08,33.6
-0.049,19.921,8.282,64.0,13.08,33.49
-0.055,19.92,8.279,64.0,13.08,33.47
-0.056,19.92,8.277,64.0,13.08,33.48
-0.056,19.92,8.273,64.0,13.08,33.48
-0.031,19.917,8.272,64.0,13.08,33.49
0.011,19.915,8.268,64.0,13.08,33.51
-0.06,19.911,8.266,64.0,13.08,33.51
0.187,19.908,8.262,64.0,13.08,33.49
-0.015,19.903,8.259,64.0,13.08,33.49
0.028,19.897,8.257,64.0,13.08,33.49
0.123,19.891,8.254,64.0,13.08,33.49
0.21,19.884,8.251,64.0,13.08,33.5
0.046,19.877,8.248,64.0,13.08,33.49
-0.004,19.868,8.244,64.0,13.08,33.49
-0.005,19.861,8.243,64.0,13.08,33.52
-0.022,19.852,8.239,64.0,13.08,33.45
-0.035,19.842,8.237,60.0,13.08,33.37
-0.037,19.832,8.234,60.0,13.08,33.39
-0.039,19.82,8.232,60.0,13.08,33.38
0.014,19.81,8.228,60.0,13.08,33.41
-0.015,19.799,8.226,60.0,13.08,33.42
0.047,19.786,8.223,60.0,13.08,33.43
0.091,19.774,8.221,60.0,13.08,33.42
-0.021,19.762,8.217,60.0,13.08,33.41
0.029,19.749,8.215,60.0,13.08,33.42
0.141,19.735,8.212,60.0,13.08,33.43
0.157,19.722,8.209,60.0,13.08,33.48
-0.023,19.708,8.206,60.0,13.08,33.57
-0.039,19.694,8.204,63.0,13.08,33.73
-0.05,19.68,8.2,63.0,13.08,33.97
-0.071,19.667,8.197,63.0,13.08,34.12
-0.08,19.652,8.194,63.0,13.08,34.44
-0.086,19.638,8.191,63.0,13.08,34.89
-0.016,19.625,8.189,63.0,13.08,35.32
-0.104,19.61,8.185,63.0,13.08,35.72
0.148,19.595,8.182,63.0,13.08,36.07
-0.085,19.58,8.179,63.0,13.08,36.38
-0.063,19.568,8.175,63.0,13.08,36.72
0.003,19.553,8.172,63.0,13.08,37.01
0.111,19.538,8.169,68.0,13.08,37.3
0.032,19.523,8.166,68.0,13.08,37.53
-0.07,19.51,8.162,68.0,13.08,37.63
-0.064,19.496,8.159,68.0,13.08,37.57
-0.077,19.483,8.156,68.0,13.08,37.41
-0.086,19.468,8.152,68.0,13.08,37.19
-0.087,19.454,8.15,68.0,13.08,37.02
-0.017,19.441,8.145,68.0,13.08,36.83
-0.071,19.427,8.142,68.0,13.08,36.7
0.098,19.414,8.137,68.0,13.08,36.56
-0.017,19.401,8.135,68.0,13.08,36.37
-0.043,19.389,8.131,68.0,13.08,36.17
0.016,19.376,8.129,68.0,13.08,36.02
0.131,19.362,8.129,70.0,13.08,35.87
0.1,19.351,8.13,70.0,13.06,35.65
-0.054,19.339,8.132,70.0,13.08,35.38
-0.053,19.328,8.124,70.0,13.08,34.92
