ECG,EMG,foot GSR,hand GSr,HR,marker,RESP
0.016,0.03625,8.764,5.676,88.0,10.85,43.47
-0.098,0.05175,8.77,5.681,88.0,10.85,43.02
0.273,0.07775,8.777,5.686,88.0,10.85,42.56
-0.094,0.0415,8.787,5.694,88.0,10.85,42.57
0.018,0.03625,8.796,5.705,88.0,10.85,42.64
0.181,0.05175,8.804,5.72,88.0,10.85,42.1
0.06,0.03625,8.811,5.74,88.0,10.85,41.39
-0.061,0.026,8.821,5.764,91.0,10.85,41.05
-0.044,0.0465,8.83,5.796,91.0,10.85,40.97
-0.052,0.0415,8.839,5.834,91.0,10.85,40.8
-0.009,0.06725,8.851,5.878,91.0,10.85,40.35
-0.051,0.0465,8.866,5.925,91.0,10.85,40.1
0.285,0.0725,8.886,5.973,91.0,10.85,40.07
-0.148,0.09325,8.912,6.028,91.0,10.85,40.18
-0.027,0.06725,8.943,6.08,91.0,10.85,40.43
0.115,0.06225,8.984,6.131,91.0,10.85,40.37
0.098,0.0465,9.028,6.183,91.0,10.85,40.54
-0.065,0.06225,9.083,6.236,89.0,10.85,40.99
-0.067,0.06725,9.137,6.283,89.0,10.85,41.53
-0.07,0.0415,9.191,6.324,89.0,10.85,42.09
-0.075,0.06225,9.248,6.366,89.0,10.85,42.56
-0.037,0.0725,9.306,6.405,89.0,10.85,43.04
-0.038,0.05175,9.359,6.443,89.0,10.85,43.55
0.109,0.1035,9.409,6.463,89.0,10.85,44.06
0.027,0.0985,9.456,6.473,89.0,10.85,44.5
0.077,0.0465,9.503,6.487,89.0,10.85,44.94
0.095,0.05175,9.548,6.502,89.0,10.85,45.39
-0.059,0.08275,9.587,6.519,89.0,10.85,45.78
-0.083,0.05175,9.622,6.532,90.0,10.84,46.2
-0.075,0.05175,9.679,6.529,90.0,10.85,46.73
-0.047,0.06225,9.682,6.528,90.0,10.85,46.75
-0.074,0.057,9.708,6.522,90.0,10.84,47.0
0.2,0.114,9.727,6.51,90.0,10.85,47.3
-0.119,0.088,9.746,6.5,90.0,10.84,47.56
-0.045,0.057,9.759,6.489,90.0,10.84,47.77
0.081,0.03625,9.768,6.48,90.0,10.85,47.97
0.064,0.0415,9.773,6.469,90.0,10.85,48.15
-0.072,0.0415,9.775,6.455,95.0,10.85,48.31
-0.058,0.0465,9.775,6.443,95.0,10.85,48.41
-0.061,0.0465,9.772,6.431,95.0,10.85,48.31
-0.028,0.0465,9.768,6.417,95.0,10.85,47.98
-0.059,0.057,9.759,6.402,95.0,10.85,47.7
0.258,0.06225,9.752,6.388,95.0,10.85,47.36
-0.125,0.0985,9.744,6.376,95.0,10.85,46.82
-0.034,0.0415,9.736,6.362,95.0,10.85,46.03
0.118,0.0415,9.728,6.351,95.0,10.85,44.96
0.106,0.05175,9.719,6.341,95.0,10.85,44.0
-0.061,0.0725,9.712,6.331,93.0,10.85,43.19
-0.059,0.03625,9.702,6.321,93.0,10.85,42.51
-0.056,0.05175,9.692,6.311,93.0,10.85,42.0
-0.033,0.088,9.68,6.301,93.0,10.85,41.5
-0.049,0.0465,9.67,6.291,93.0,10.85,41.18
0.168,0.07775,9.66,6.279,93.0,10.85,41.07
-0.031,0.0725,9.65,6.269,93.0,10.85,41.1
-0.045,0.057,9.64,6.259,93.0,10.85,41.28
0.101,0.057,9.63,6.249,93.0,10.85,41.58
0.115,0.057,9.62,6.239,93.0,10.85,42.01
-0.065,0.06225,9.61,6.231,93.0,10.85,42.53
-0.076,0.0465,9.6,6.222,91.0,10.85,43.06
-0.074,0.05175,9.592,6.214,91.0,10.85,43.56
-0.073,0.0415,9.582,6.206,91.0,10.85,43.93
-0.051,0.06225,9.573,6.197,91.0,10.85,44.34
-0.021,0.06225,9.563,6.189,91.0,10.85,44.83
0.076,0.09325,9.553,6.182,91.0,10.85,45.32
-0.091,0.057,9.544,6.175,91.0,10.85,45.74
0.035,0.057,9.536,6.169,91.0,10.85,46.11
0.07,0.05175,9.528,6.164,91.0,10.85,46.52
-0.107,0.09325,9.521,6.156,91.0,10.85,46.89
-0.119,0.1035,9.512,6.15,91.0,10.85,47.24
-0.111,0.08275,9.505,6.144,91.0,10.85,47.5
-0.073,0.0985,9.497,6.139,91.0,10.85,47.6
-0.163,0.0985,9.49,6.134,91.0,10.85,47.79
0.179,0.13975,9.476,6.121,91.0,10.85,48.86
-0.237,0.1035,9.475,6.121,91.0,10.84,48.93
-0.097,0.0985,9.467,6.116,91.0,10.85,49.67
0.038,0.08275,9.46,6.111,97.0,10.84,50.53
-0.066,0.0985,9.453,6.106,97.0,10.84,51.48
-0.173,0.07775,9.448,6.101,97.0,10.85,52.3
-0.159,0.09325,9.443,6.097,97.0,10.84,52.94
-0.153,0.0725,9.435,6.092,97.0,10.84,53.23
-0.113,0.06225,9.43,6.087,97.0,10.84,53.38
-0.153,0.07775,9.425,6.082,97.0,10.84,53.69
0.064,0.09325,9.418,6.077,97.0,10.84,53.66
-0.144,0.05175,9.411,6.072,97.0,10.85,53.44
-0.015,0.05175,9.405,6.068,97.0,10.84,53.09
0.041,0.0725,9.4,6.064,97.0,10.84,52.78
-0.112,0.057,9.395,6.059,97.0,10.84,52.47
-0.132,0.057,9.39,6.054,97.0,10.85,51.82
-0.115,0.06725,9.385,6.049,97.0,10.84,50.93
-0.132,0.1035,9.379,6.046,97.0,10.84,49.72
-0.049,0.06725,9.375,6.042,97.0,10.84,48.68
-0.165,0.06225,9.37,6.037,97.0,10.84,47.84
0.211,0.0725,9.364,6.032,97.0,10.84,47.11
-0.134,0.06725,9.358,6.027,97.0,10.84,46.4
-0.022,0.05175,9.355,6.024,97.0,10.84,45.76
0.138,0.07775,9.351,6.019,89.0,10.84,45.24
-0.014,0.057,9.346,6.017,89.0,10.85,44.78
-0.12,0.06725,9.342,6.012,89.0,10.84,44.41
-0.096,0.057,9.338,6.009,89.0,10.84,44.08
-0.1,0.07775,9.333,6.005,89.0,10.84,43.77
-0.036,0.057,9.331,6.001,89.0,10.84,43.43
-0.156,0.0725,9.327,5.997,89.0,10.84,43.3
