ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
-0.055,0.292625,7.3,6.527,70.0,11.59,51.02
0.007,0.321125,7.297,6.522,70.0,11.57,51.01
-0.068,0.349625,7.295,6.518,70.0,11.57,50.99
0.046,0.246,7.291,6.514,70.0,11.57,50.94
0.231,0.362625,7.287,6.511,70.0,11.57,50.9
0.046,0.357375,7.284,6.509,70.0,11.57,50.88
0.13,0.227875,7.28,6.504,70.0,11.57,50.85
0.338,0.163125,7.277,6.499,70.0,11.57,50.81
0.335,0.357375,7.275,6.494,70.0,11.57,50.77
0.015,0.31075,7.27,6.489,70.0,11.57,50.71
-0.009,0.401375,7.267,6.486,91.0,11.57,50.66
0.003,0.3445,7.264,6.482,91.0,11.57,50.56
-0.016,0.277125,7.261,6.481,91.0,11.57,50.44
-0.027,0.32375,7.259,6.479,91.0,11.57,50.41
-0.047,0.316,7.255,6.477,91.0,11.57,50.4
-0.046,0.292625,7.254,6.474,91.0,11.57,50.39
-0.096,0.248625,7.251,6.476,91.0,11.57,50.36
-0.126,0.246,7.249,6.476,91.0,11.57,50.36
0.236,0.284875,7.249,6.474,91.0,11.57,50.41
-0.119,0.36,7.247,6.473,91.0,11.57,50.52
-0.054,0.308125,7.246,6.471,91.0,11.57,50.64
0.028,0.227875,7.246,6.472,63.0,11.57,50.89
0.225,0.025875,7.246,6.473,63.0,11.57,50.91
0.072,0.398875,7.246,6.473,63.0,11.57,51.02
-0.185,0.3185,7.246,6.474,63.0,11.57,51.14
-0.197,0.25125,7.249,6.476,63.0,11.57,51.23
-0.194,0.271875,7.249,6.477,63.0,11.57,51.27
-0.215,0.168375,7.251,6.478,63.0,11.57,51.38
-0.21,0.168375,7.251,6.478,63.0,11.57,51.51
-0.144,0.031125,7.252,6.478,63.0,11.57,51.67
-0.226,0.2745,7.254,6.474,63.0,11.57,51.88
-0.216,0.163125,7.254,6.464,63.0,11.57,51.99
0.186,0.29525,7.254,6.454,63.0,11.57,52.06
-0.12,0.341875,7.255,6.446,63.0,11.57,52.08
-0.026,0.277125,7.255,6.435,63.0,11.57,52.02
0.142,0.196875,7.254,6.434,69.0,11.57,51.98
0.208,0.3185,7.254,6.426,69.0,11.57,51.92
-0.109,0.36775,7.254,6.42,69.0,11.57,51.83
-0.138,0.328875,7.254,6.412,69.0,11.57,51.77
-0.118,0.32375,7.254,6.41,69.0,11.57,51.7
-0.116,0.303,7.251,6.406,69.0,11.56,51.59
-0.109,0.28225,7.251,6.402,69.0,11.56,51.51
-0.099,0.347,7.249,6.4,69.0,11.56,51.44
-0.033,0.29,7.247,6.41,69.0,11.56,51.38
-0.099,0.38325,7.246,6.42,69.0,11.56,51.32
-0.07,0.365125,7.245,6.417,69.0,11.56,51.24
0.272,0.303,7.244,6.407,69.0,11.56,51.15
0.005,0.35225,7.24,6.396,69.0,11.57,51.05
