ECG,EMG,foot GSR,HR,marker,RESP
-0.024,0.98675,9.172,82.0,9.23,45.73
-0.081,0.999625,9.158,82.0,9.34,45.59
0.225,1.0515,9.168,82.0,9.34,45.42
-0.103,1.00225,9.191,82.0,9.34,45.25
0.002,0.9815,9.176,82.0,9.34,45.05
0.196,0.9375,12.789,75.0,9.32,46.49
0.281,0.9245,13.022,75.0,9.3,46.58
-0.064,0.911625,13.119,75.0,9.32,46.61
-0.088,0.88825,13.174,75.0,9.3,46.62
-0.074,0.932375,13.203,75.0,9.29,46.6
-0.076,0.963375,13.238,75.0,9.29,46.59
-0.085,0.997125,13.271,75.0,9.29,46.55
-0.021,1.01525,13.297,75.0,9.28,46.55
-0.09,0.976375,13.317,75.0,9.29,46.55
0.211,1.020375,13.332,75.0,9.34,46.56
-0.114,1.023,13.343,75.0,9.38,46.59
-0.009,0.9375,13.35,75.0,9.34,46.61
0.18,0.947875,13.352,77.0,9.34,46.6
0.273,0.978875,13.352,77.0,9.33,46.6
-0.075,0.9375,13.35,77.0,9.34,46.64
-0.101,0.976375,13.345,77.0,9.34,46.69
-0.088,0.91675,13.336,77.0,9.33,46.76
-0.095,0.890875,13.326,77.0,9.33,46.85
-0.068,0.94525,13.313,77.0,9.34,46.99
-0.084,0.922,13.296,77.0,9.34,47.22
-0.08,0.90125,13.278,77.0,9.34,47.46
0.094,0.95825,13.257,77.0,9.34,47.67
-0.056,0.922,13.236,77.0,9.34,47.87
0.073,0.98675,13.211,77.0,9.34,48.09
0.309,0.9505,13.185,81.0,9.34,48.3
-0.031,1.03075,13.158,81.0,9.34,48.58
-0.12,1.067,13.128,81.0,9.34,48.85
-0.107,1.007375,13.097,81.0,9.35,49.07
-0.105,0.971125,13.066,81.0,9.35,49.21
-0.052,0.968625,13.032,81.0,9.36,49.34
-0.155,0.976375,13.0,81.0,9.36,49.54
0.131,0.963375,12.964,81.0,9.36,49.8
-0.127,0.9245,12.93,81.0,9.36,50.03
-0.03,0.867625,12.893,81.0,9.36,50.23
0.198,0.90125,12.858,88.0,9.36,50.39
0.158,0.91425,12.823,88.0,9.35,50.55
-0.131,1.012625,12.789,88.0,9.35,50.82
-0.141,0.997125,12.754,88.0,9.34,51.08
-0.124,0.9945,12.719,88.0,9.34,51.26
-0.065,0.98925,12.685,88.0,9.34,51.35
-0.167,1.048875,12.652,88.0,9.34,51.47
0.141,1.06175,12.621,88.0,9.34,51.84
-0.164,1.054,12.59,88.0,9.34,52.09
-0.047,0.96075,12.558,88.0,9.34,52.27
0.174,0.96075,12.529,91.0,9.34,52.4
0.164,1.01525,12.499,91.0,9.34,52.52
-0.143,0.98675,12.471,91.0,9.34,52.7
-0.158,0.940125,12.444,91.0,9.34,52.89
-0.127,0.88575,12.417,91.0,9.34,53.07
-0.087,0.841625,12.391,91.0,9.34,53.21
-0.192,0.91675,12.366,91.0,9.34,53.4
0.115,0.9245,12.343,91.0,9.34,53.59
-0.11,1.00225,12.32,91.0,9.34,53.75
-0.011,0.932375,12.3,91.0,9.34,53.87
0.263,0.966,12.281,95.0,9.34,54.02
0.044,0.947875,12.267,95.0,9.34,54.15
-0.152,1.067,12.255,95.0,9.33,54.26
-0.147,1.121375,12.249,95.0,9.33,54.4
-0.099,0.971125,12.249,95.0,9.34,54.51
-0.106,0.96075,12.255,95.0,9.34,54.64
-0.176,1.007375,12.27,95.0,9.34,54.75
0.148,0.971125,12.295,95.0,9.34,54.85
-0.088,0.940125,12.333,95.0,9.34,54.94
0.045,0.8805,12.378,95.0,9.33,54.99
0.311,0.85725,12.437,95.0,9.32,55.0
-0.032,0.865,12.505,95.0,9.32,55.0
-0.148,0.88825,12.586,95.0,9.32,54.97
-0.133,0.940125,12.67,95.0,9.3,54.92
-0.107,0.968625,12.764,95.0,9.3,54.8
-0.061,0.932375,12.858,95.0,9.29,54.72
-0.163,0.91675,12.955,95.0,9.29,54.65
0.161,1.054,13.049,95.0,9.29,54.59
-0.086,1.035875,13.144,95.0,9.29,54.52
0.004,0.96075,13.235,95.0,9.29,54.41
0.284,0.9945,13.323,90.0,9.29,54.27
0.1,0.971125,13.404,90.0,9.29,54.11
-0.119,0.997125,13.48,90.0,9.29,53.91
-0.117,1.007375,13.547,90.0,9.28,53.72
-0.098,0.942625,13.608,90.0,9.28,53.47
-0.095,0.8935,13.66,90.0,9.28,53.28
-0.044,0.8935,13.706,90.0,9.27,53.12
-0.139,0.90125,13.746,90.0,9.25,52.92
0.192,0.96075,13.777,90.0,9.18,52.7
-0.075,0.94525,13.802,90.0,9.19,52.43
0.01,0.911625,13.822,90.0,9.25,52.23
0.267,0.91675,13.836,90.0,9.24,52.0
0.18,0.9245,13.846,90.0,9.23,51.73
-0.096,1.00225,13.853,83.0,9.27,51.51
-0.1,0.966,13.857,83.0,9.35,51.32
-0.084,0.9815,13.854,83.0,9.4,51.07
-0.09,0.9375,13.849,83.0,9.24,50.85
-0.095,0.906375,13.841,83.0,9.29,50.64
