ECG,EMG,foot GSR,hand GSR,marker,RESP
-0.024,0.98675,9.172,16.0,9.23,45.73
-0.081,0.999625,9.158,15.963,9.34,45.59
0.225,1.0515,9.168,15.968,9.34,45.42
-0.103,1.00225,9.191,15.99,9.34,45.25
0.002,0.9815,9.176,15.937,9.34,45.05
0.196,0.9375,12.789,21.937,9.32,46.49
0.281,0.9245,13.022,22.236,9.3,46.58
-0.064,0.911625,13.119,22.273,9.32,46.61
-0.088,0.88825,13.174,22.233,9.3,46.62
-0.074,0.932375,13.203,22.154,9.29,46.6
-0.076,0.963375,13.238,22.097,9.29,46.59
-0.085,0.997125,13.271,22.034,9.29,46.55
-0.021,1.01525,13.297,21.968,9.28,46.55
-0.09,0.976375,13.317,21.902,9.29,46.55
0.211,1.020375,13.332,21.831,9.34,46.56
-0.114,1.023,13.343,21.761,9.38,46.59
-0.009,0.9375,13.35,21.694,9.34,46.61
0.18,0.947875,13.352,21.627,9.34,46.6
0.273,0.978875,13.352,21.56,9.33,46.6
-0.075,0.9375,13.35,21.494,9.34,46.64
-0.101,0.976375,13.345,21.432,9.34,46.69
-0.088,0.91675,13.336,21.369,9.33,46.76
-0.095,0.890875,13.326,21.309,9.33,46.85
-0.068,0.94525,13.313,21.252,9.34,46.99
-0.084,0.922,13.296,21.196,9.34,47.22
-0.08,0.90125,13.278,21.144,9.34,47.46
0.094,0.95825,13.257,21.093,9.34,47.67
-0.056,0.922,13.236,21.043,9.34,47.87
0.073,0.98675,13.211,20.996,9.34,48.09
0.309,0.9505,13.185,20.952,9.34,48.3
-0.031,1.03075,13.158,20.908,9.34,48.58
-0.12,1.067,13.128,20.867,9.34,48.85
-0.107,1.007375,13.097,20.827,9.35,49.07
-0.105,0.971125,13.066,20.79,9.35,49.21
-0.052,0.968625,13.032,20.753,9.36,49.34
-0.155,0.976375,13.0,20.72,9.36,49.54
0.131,0.963375,12.964,20.687,9.36,49.8
-0.127,0.9245,12.93,20.655,9.36,50.03
-0.03,0.867625,12.893,20.625,9.36,50.23
0.198,0.90125,12.858,20.595,9.36,50.39
0.158,0.91425,12.823,20.568,9.35,50.55
-0.131,1.012625,12.789,20.541,9.35,50.82
-0.141,0.997125,12.754,20.515,9.34,51.08
-0.124,0.9945,12.719,20.49,9.34,51.26
-0.065,0.98925,12.685,20.468,9.34,51.35
-0.167,1.048875,12.652,20.444,9.34,51.47
0.141,1.06175,12.621,20.424,9.34,51.84
-0.164,1.054,12.59,20.404,9.34,52.09
-0.047,0.96075,12.558,20.386,9.34,52.27
0.174,0.96075,12.529,20.369,9.34,52.4
0.164,1.01525,12.499,20.356,9.34,52.52
-0.143,0.98675,12.471,20.346,9.34,52.7
-0.158,0.940125,12.444,20.341,9.34,52.89
-0.127,0.88575,12.417,20.343,9.34,53.07
-0.087,0.841625,12.391,20.352,9.34,53.21
-0.192,0.91675,12.366,20.371,9.34,53.4
0.115,0.9245,12.343,20.398,9.34,53.59
-0.11,1.00225,12.32,20.437,9.34,53.75
-0.011,0.932375,12.3,20.486,9.34,53.87
0.263,0.966,12.281,20.548,9.34,54.02
0.044,0.947875,12.267,20.619,9.34,54.15
-0.152,1.067,12.255,20.699,9.33,54.26
-0.147,1.121375,12.249,20.784,9.33,54.4
-0.099,0.971125,12.249,20.875,9.34,54.51
-0.106,0.96075,12.255,20.963,9.34,54.64
-0.176,1.007375,12.27,21.051,9.34,54.75
0.148,0.971125,12.295,21.129,9.34,54.85
-0.088,0.940125,12.333,21.2,9.34,54.94
0.045,0.8805,12.378,21.263,9.33,54.99
0.311,0.85725,12.437,21.315,9.32,55.0
-0.032,0.865,12.505,21.356,9.32,55.0
-0.148,0.88825,12.586,21.388,9.32,54.97
-0.133,0.940125,12.67,21.411,9.3,54.92
-0.107,0.968625,12.764,21.426,9.3,54.8
-0.061,0.932375,12.858,21.432,9.29,54.72
-0.163,0.91675,12.955,21.432,9.29,54.65
0.161,1.054,13.049,21.423,9.29,54.59
-0.086,1.035875,13.144,21.411,9.29,54.52
0.004,0.96075,13.235,21.391,9.29,54.41
0.284,0.9945,13.323,21.368,9.29,54.27
0.1,0.971125,13.404,21.341,9.29,54.11
-0.119,0.997125,13.48,21.308,9.29,53.91
-0.117,1.007375,13.547,21.273,9.28,53.72
-0.098,0.942625,13.608,21.235,9.28,53.47
-0.095,0.8935,13.66,21.195,9.28,53.28
-0.044,0.8935,13.706,21.155,9.27,53.12
-0.139,0.90125,13.746,21.111,9.25,52.92
0.192,0.96075,13.777,21.067,9.18,52.7
-0.075,0.94525,13.802,21.022,9.19,52.43
0.01,0.911625,13.822,20.977,9.25,52.23
0.267,0.91675,13.836,20.93,9.24,52.0
0.18,0.9245,13.846,20.885,9.23,51.73
-0.096,1.00225,13.853,20.841,9.27,51.51
-0.1,0.966,13.857,20.796,9.35,51.32
-0.084,0.9815,13.854,20.752,9.4,51.07
-0.09,0.9375,13.849,20.71,9.24,50.85
-0.095,0.906375,13.841,20.67,9.29,50.64
-0.056,0.95825,13.829,20.633,9.23,50.47
-0.053,0.8935,13.815,20.597,9.28,50.32
-0.102,0.8805,13.799,20.566,9.23,50.15
0.219,0.839125,13.779,20.538,9.22,50.0
-0.03,0.808,13.756,20.512,9.43,49.86
0.093,0.87275,13.731,20.489,9.56,49.73
0.364,0.898625,13.703,20.47,9.49,49.61
0.051,0.88825,13.674,20.455,9.43,49.45
-0.073,0.88825,13.642,20.444,9.63,49.29
-0.061,0.91675,13.609,20.434,9.76,49.13
-0.054,0.903875,13.577,20.428,9.4,48.94
-0.061,0.9815,13.542,20.427,9.35,48.78
-0.064,1.012625,13.509,20.427,9.5,48.64
-0.039,0.999625,13.475,20.427,9.83,48.5
-0.003,0.978875,13.442,20.43,10.0,48.38
-0.091,0.94525,13.411,20.434,9.96,48.29
0.264,1.004875,13.381,20.44,9.79,48.22
-0.005,0.919375,13.353,20.446,9.67,48.11
0.091,0.8935,13.326,20.454,9.65,48.0
0.367,0.833875,13.301,20.46,9.76,47.9
0.144,0.8365,13.28,20.465,10.08,47.82
-0.049,0.903875,13.26,20.468,10.3,47.74
-0.043,0.98675,13.241,20.469,10.44,47.66
-0.039,1.028125,13.226,20.469,10.48,47.52
-0.047,1.01775,13.211,20.467,10.49,47.41
-0.05,0.9815,13.2,20.463,10.39,47.3
0.004,1.0255,13.19,20.456,10.4,47.19
-0.039,1.06175,13.18,20.446,10.41,47.12
0.095,1.041125,13.17,20.436,10.41,47.05
0.082,1.067,13.162,20.423,10.43,47.01
0.006,1.04625,13.154,20.408,10.4,46.94
0.152,1.007375,13.145,20.39,10.4,46.87
0.373,1.020375,13.137,20.372,10.72,46.81
-0.001,0.955625,13.128,20.352,10.68,46.79
-0.072,0.927125,13.118,20.332,10.57,46.78
-0.064,0.870125,13.108,20.312,10.52,46.77
-0.066,0.909,13.097,20.293,10.48,46.7
-0.075,0.9375,13.084,20.273,10.45,46.63
-0.059,0.968625,13.072,20.255,10.49,46.61
-0.013,0.97375,13.057,20.239,10.49,46.61
-0.109,0.963375,13.042,20.224,10.54,46.63
0.204,1.007375,13.027,20.213,10.68,46.66
-0.038,1.0515,13.012,20.205,10.68,46.69
0.04,1.043625,12.995,20.199,10.67,46.68
0.3,1.054,12.977,20.194,10.65,46.66
0.152,0.999625,12.959,20.192,10.62,46.65
-0.083,1.043625,12.942,20.191,10.6,46.66
-0.083,1.0515,12.925,20.188,10.61,46.69
-0.074,0.997125,12.908,20.188,10.59,46.65
-0.083,0.940125,12.893,20.188,10.6,46.63
-0.085,0.922,12.878,20.189,10.67,46.61
-0.022,0.9375,12.866,20.189,10.77,46.61
-0.113,1.0385,12.854,20.191,10.73,46.62
0.177,1.012625,12.844,20.191,10.82,46.68
-0.083,1.06175,12.836,20.191,11.13,46.74
-0.006,1.00225,12.828,20.188,11.71,46.82
0.216,1.020375,12.821,20.188,13.67,46.93
0.206,1.11875,12.816,20.186,18.14,47.1
-0.103,1.1265,12.81,20.183,24.86,47.27
-0.124,1.105875,12.804,20.179,32.89,47.38
-0.117,1.09025,12.799,20.174,41.49,47.46
-0.113,1.08775,12.795,20.169,57.08,47.59
-0.074,1.054,12.791,20.163,64.82,47.78
-0.169,1.077375,12.786,20.155,59.41,47.96
0.118,1.0515,12.784,20.148,47.58,48.1
-0.097,1.0515,12.779,20.138,38.04,48.3
0.209,1.06175,12.772,20.129,38.46,48.54
0.293,1.0385,12.766,20.121,39.68,48.75
0.073,1.144625,12.761,20.112,45.54,48.89
-0.147,1.11625,12.755,20.107,52.35,49.09
-0.147,1.064375,12.749,20.106,55.37,49.32
-0.135,1.064375,12.734,20.126,57.27,49.61
-0.078,1.144625,12.734,20.127,54.51,49.62
-0.178,1.18875,12.727,20.147,49.51,49.79
0.122,1.209375,12.72,20.179,42.11,49.98
-0.166,1.18875,12.713,20.215,31.64,50.15
-0.053,1.17575,12.705,20.259,28.13,50.21
0.17,1.178375,12.695,20.307,29.36,50.36
0.159,1.105875,12.688,20.358,35.6,50.6
-0.149,1.08,12.682,20.413,51.31,50.86
-0.159,1.033375,12.678,20.469,60.01,51.06
-0.135,1.023,12.677,20.529,60.43,51.15
-0.086,0.9945,12.679,20.589,56.11,51.22
-0.192,1.069625,12.684,20.658,49.87,51.31
0.105,1.144625,12.693,20.728,35.97,51.4
-0.127,1.111,12.707,20.807,24.45,51.54
-0.031,1.03075,12.72,20.887,18.67,51.63
0.241,1.01,12.74,20.969,16.07,51.8
0.073,1.10325,12.761,21.052,15.52,51.99
-0.159,1.064375,12.787,21.133,14.91,52.15
-0.164,1.072125,12.819,21.211,14.68,52.36
-0.117,0.9815,12.855,21.284,14.05,52.53
-0.121,1.023,12.893,21.354,13.58,52.65
-0.194,0.94525,12.94,21.419,13.54,52.86
0.12,0.95825,12.99,21.473,13.43,53.07
-0.111,0.940125,13.047,21.522,13.26,53.23
0.024,0.911625,13.109,21.563,13.11,53.41
0.303,0.85975,13.177,21.595,12.95,53.66
-0.064,0.906375,13.248,21.621,13.16,53.86
-0.174,0.9945,13.325,21.639,13.59,54.05
-0.163,1.01,13.402,21.648,13.61,54.24
-0.119,0.9815,13.48,21.647,13.42,54.45
-0.119,1.020375,13.557,21.642,13.28,54.68
-0.187,1.04625,13.631,21.632,13.34,54.93
0.138,1.10325,13.706,21.615,13.54,55.16
-0.105,1.098125,13.777,21.594,13.56,55.35
0.033,1.092875,13.843,21.567,13.54,55.57
0.318,1.085125,13.907,21.538,13.5,55.83
-0.057,1.08775,13.966,21.503,13.34,56.07
-0.172,1.033375,14.018,21.466,13.22,56.25
-0.16,1.035875,14.066,21.425,13.09,56.37
-0.144,0.9945,14.109,21.382,13.3,56.47
-0.089,0.92975,14.147,21.339,13.12,56.53
-0.167,0.968625,14.182,21.3,13.11,56.48
0.174,1.01775,14.211,21.263,13.09,56.41
-0.176,1.01525,14.233,21.232,13.06,56.27
-0.07,1.054,14.25,21.21,13.06,56.15
0.137,1.0515,14.264,21.2,13.09,56.05
0.268,1.033375,14.271,21.199,13.09,55.93
