ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
-0.036,0.166,1.375,4.994,77.0,11.16,38.33
0.099,0.166,1.375,4.993,85.0,11.16,38.39
0.08,0.186,1.375,4.992,85.0,11.16,38.45
-0.088,0.186,1.375,4.99,85.0,11.16,38.47
-0.079,0.207,1.375,4.988,85.0,11.16,38.48
-0.076,0.186,1.372,4.987,85.0,11.16,38.42
-0.02,0.186,1.372,4.984,85.0,11.16,38.35
-0.092,0.166,1.372,4.982,85.0,11.16,38.3
0.276,0.373,1.372,4.982,85.0,11.16,38.26
-0.091,0.228,1.372,4.98,85.0,11.16,38.24
-0.071,0.145,1.372,4.979,85.0,11.16,38.2
0.0,0.186,1.372,4.977,86.0,11.17,38.18
0.144,0.124,1.372,4.975,86.0,11.16,38.15
-0.002,0.145,1.372,4.973,86.0,11.16,38.14
-0.093,0.145,1.372,4.972,86.0,11.16,38.14
-0.077,0.228,1.372,4.969,86.0,11.16,38.11
-0.082,0.145,1.371,4.968,86.0,11.16,38.03
-0.02,0.166,1.371,4.967,86.0,11.16,37.96
-0.1,0.207,1.37,4.964,86.0,11.16,37.92
0.3,0.394,1.37,4.963,86.0,11.16,37.9
-0.11,0.186,1.37,4.962,86.0,11.16,37.87
-0.074,0.145,1.37,4.96,86.0,11.16,37.83
0.002,0.145,1.37,4.958,85.0,11.16,37.78
0.143,0.166,1.37,4.957,85.0,11.16,37.75
-0.019,0.145,1.37,4.957,85.0,11.16,37.71
-0.092,0.186,1.37,4.954,85.0,11.16,37.67
-0.077,0.207,1.368,4.952,85.0,11.16,37.6
-0.084,0.228,1.367,4.951,85.0,11.16,37.49
-0.063,0.207,1.367,4.95,85.0,11.16,37.39
-0.03,0.145,1.367,4.947,85.0,11.16,37.3
-0.112,0.207,1.367,4.946,85.0,11.16,37.25
0.327,0.539,1.367,4.943,85.0,11.17,37.21
-0.086,0.228,1.367,4.942,85.0,11.17,37.17
-0.045,0.145,1.367,4.941,85.0,11.16,37.14
0.06,0.166,1.367,4.94,80.0,11.17,37.09
0.135,0.145,1.367,4.937,80.0,11.16,37.07
-0.068,0.166,1.367,4.936,80.0,11.16,37.03
-0.083,0.145,1.367,4.935,80.0,11.16,36.99
-0.074,0.186,1.366,4.932,80.0,11.16,36.9
-0.085,0.166,1.367,4.932,80.0,11.17,36.77
-0.088,0.186,1.365,4.93,80.0,11.17,36.68
-0.024,0.186,1.365,4.927,80.0,11.16,36.62
-0.078,0.228,1.365,4.927,80.0,11.16,36.58
0.196,0.331,1.365,4.926,80.0,11.17,36.54
0.041,0.29,1.365,4.923,80.0,11.17,36.52
-0.076,0.186,1.365,4.922,80.0,11.17,36.52
-0.016,0.124,1.365,4.921,73.0,11.17,36.52
0.125,0.145,1.365,4.918,73.0,11.17,36.51
0.036,0.186,1.363,4.917,73.0,11.17,36.52
-0.095,0.186,1.362,4.916,73.0,11.17,36.52
-0.083,0.207,1.362,4.913,73.0,11.17,36.49
-0.088,0.186,1.362,4.912,73.0,11.17,36.45
-0.098,0.186,1.362,4.91,73.0,11.17,36.39
-0.098,0.145,1.362,4.908,73.0,11.17,36.37
-0.03,0.186,1.362,4.907,73.0,11.17,36.37
-0.093,0.228,1.362,4.905,73.0,11.17,36.37
0.284,0.394,1.362,4.905,73.0,11.17,36.38
-0.063,0.228,1.362,4.902,73.0,11.16,36.39
-0.073,0.207,1.362,4.901,73.0,11.17,36.41
-0.004,0.186,1.362,4.9,72.0,11.17,36.42
0.137,0.166,1.362,4.897,72.0,11.17,36.43
0.012,0.186,1.361,4.896,72.0,11.16,36.44
-0.101,0.186,1.361,4.895,72.0,11.17,36.46
-0.086,0.145,1.36,4.892,72.0,11.17,36.45
-0.096,0.186,1.36,4.891,72.0,11.17,36.4
-0.104,0.166,1.36,4.89,72.0,11.17,36.39
-0.105,0.186,1.36,4.887,72.0,11.17,36.41
-0.052,0.145,1.36,4.886,72.0,11.16,36.47
-0.082,0.186,1.36,4.885,72.0,11.17,36.55
0.096,0.394,1.358,4.883,72.0,11.17,36.62
0.089,0.331,1.357,4.882,72.0,11.16,36.72
-0.085,0.207,1.357,4.88,72.0,11.16,36.84
-0.028,0.166,1.357,4.878,70.0,11.16,36.98
0.109,0.145,1.357,4.877,70.0,11.17,37.11
0.051,0.207,1.357,4.875,70.0,11.17,37.26
-0.107,0.186,1.357,4.875,70.0,11.17,37.4
-0.098,0.207,1.357,4.872,70.0,11.17,37.51
-0.101,0.186,1.357,4.871,70.0,11.16,37.59
-0.104,0.166,1.357,4.87,70.0,11.16,37.68
-0.051,0.166,1.357,4.868,70.0,11.16,37.79
-0.126,0.228,1.357,4.867,70.0,11.17,37.93
0.253,0.435,1.357,4.865,70.0,11.17,38.05
-0.127,0.228,1.355,4.862,70.0,11.17,38.15
-0.083,0.228,1.355,4.862,70.0,11.17,38.26
0.003,0.228,1.355,4.86,80.0,11.16,38.36
0.125,0.228,1.355,4.86,80.0,11.16,38.45
-0.066,0.207,1.355,4.858,80.0,11.16,38.52
-0.116,0.186,1.355,4.856,80.0,11.16,38.58
-0.101,0.166,1.355,4.855,80.0,11.17,38.59
-0.097,0.207,1.355,4.853,80.0,11.16,38.58
-0.058,0.249,1.353,4.851,80.0,11.17,38.56
-0.132,0.186,1.355,4.85,80.0,11.17,38.56
0.262,0.311,1.352,4.848,80.0,11.17,38.53
-0.118,0.228,1.352,4.848,80.0,11.17,38.48
-0.072,0.249,1.352,4.846,80.0,11.17,38.43
0.021,0.186,1.352,4.844,85.0,11.17,38.37
0.127,0.145,1.352,4.843,85.0,11.17,38.33
-0.071,0.207,1.352,4.841,85.0,11.17,38.29
-0.103,0.166,1.352,4.84,85.0,11.17,38.26
-0.087,0.166,1.352,4.838,85.0,11.17,38.2
-0.095,0.186,1.352,4.838,85.0,11.16,38.09
-0.036,0.186,1.352,4.835,85.0,11.24,38.0
-0.103,0.207,1.352,4.833,85.0,11.46,37.93
0.294,0.352,1.352,4.833,85.0,11.67,37.89
-0.096,0.228,1.352,4.83,85.0,11.61,37.86
-0.068,0.145,1.352,4.83,85.0,12.16,37.81
0.005,0.145,1.351,4.828,82.0,11.62,37.78
0.153,0.186,1.352,4.828,82.0,11.4,37.74
0.004,0.166,1.35,4.825,82.0,11.28,37.73
-0.082,0.124,1.35,4.825,82.0,11.22,37.69
-0.064,0.228,1.35,4.823,82.0,11.46,37.64
-0.066,0.228,1.35,4.821,82.0,11.51,37.52
-0.07,0.207,1.35,4.82,82.0,11.39,37.42
-0.038,0.104,1.35,4.818,82.0,11.73,37.36
-0.068,0.166,1.35,4.818,82.0,11.96,37.31
-0.002,0.207,1.35,4.816,82.0,11.99,37.28
0.36,0.456,1.35,4.814,82.0,11.96,37.24
-0.066,0.186,1.348,4.813,82.0,11.99,37.2
-0.028,0.166,1.348,4.81,82.0,11.99,37.15
0.078,0.124,1.347,4.809,73.0,11.62,37.09
0.139,0.145,1.347,4.808,73.0,11.78,37.08
-0.072,0.145,1.347,4.808,73.0,11.88,37.03
-0.088,0.207,1.347,4.805,73.0,11.73,36.97
-0.084,0.145,1.347,4.804,73.0,11.89,36.87
-0.097,0.186,1.347,4.803,73.0,11.82,36.72
-0.104,0.269,1.347,4.803,73.0,11.48,36.63
-0.101,0.124,1.347,4.8,73.0,11.46,36.57
-0.098,0.186,1.347,4.799,73.0,11.26,36.53
-0.086,0.166,1.347,4.798,73.0,11.32,36.52
-0.042,0.207,1.347,4.796,73.0,11.6,36.5
-0.11,0.186,1.347,4.795,73.0,11.43,36.5
0.338,0.394,1.347,4.793,73.0,11.28,36.49
-0.088,0.186,1.346,4.793,73.0,11.34,36.5
-0.06,0.186,1.347,4.79,73.0,11.4,36.51
0.029,0.166,1.345,4.79,61.0,11.43,36.52
0.153,0.166,1.345,4.788,61.0,11.26,36.52
-0.052,0.186,1.345,4.786,61.0,11.29,36.52
-0.102,0.207,1.345,4.785,61.0,11.22,36.52
-0.092,0.207,1.345,4.783,61.0,11.21,36.49
-0.101,0.186,1.345,4.783,61.0,11.13,36.43
-0.103,0.166,1.345,4.78,61.0,11.12,36.4
-0.096,0.145,1.345,4.779,61.0,11.11,36.39
-0.086,0.269,1.345,4.778,61.0,11.12,36.39
-0.067,0.228,1.345,4.776,61.0,11.11,36.42
-0.027,0.186,1.345,4.775,61.0,11.11,36.42
-0.09,0.228,1.342,4.773,61.0,11.11,36.42
0.367,0.518,1.345,4.772,61.0,11.11,36.43
-0.057,0.124,1.342,4.771,61.0,11.11,36.44
-0.027,0.166,1.342,4.768,61.0,11.1,36.45
0.072,0.166,1.342,4.768,62.0,11.11,36.47
0.18,0.145,1.342,4.767,62.0,11.1,36.47
-0.039,0.186,1.342,4.766,62.0,11.11,36.47
-0.077,0.145,1.342,4.763,62.0,11.11,36.49
-0.068,0.207,1.342,4.763,62.0,11.11,36.47
-0.077,0.124,1.342,4.761,62.0,11.11,36.4
-0.081,0.207,1.342,4.761,62.0,11.1,36.39
-0.081,0.186,1.341,4.758,62.0,11.1,36.4
-0.033,0.166,1.342,4.756,62.0,11.1,36.45
-0.088,0.124,1.34,4.756,62.0,11.1,36.51
0.292,0.414,1.34,4.754,62.0,11.1,36.57
-0.086,0.228,1.34,4.753,62.0,11.1,36.65
-0.073,0.166,1.34,4.751,62.0,11.1,36.74
-0.002,0.145,1.34,4.751,70.0,11.1,36.87
0.156,0.186,1.34,4.748,70.0,11.1,37.01
0.016,0.186,1.34,4.747,70.0,11.1,37.16
-0.1,0.207,1.34,4.746,70.0,11.1,37.3
-0.086,0.228,1.34,4.743,70.0,11.1,37.41
-0.088,0.145,1.34,4.742,70.0,11.1,37.48
-0.07,0.186,1.34,4.741,70.0,11.1,37.56
-0.066,0.228,1.34,4.739,70.0,11.1,37.68
-0.114,0.228,1.338,4.738,70.0,11.1,37.8
0.28,0.456,1.337,4.736,70.0,11.1,37.93
-0.085,0.249,1.337,4.734,70.0,11.1,38.01
-0.036,0.207,1.337,4.733,70.0,11.1,38.11
0.095,0.166,1.337,4.731,80.0,11.1,38.2
0.124,0.207,1.337,4.729,80.0,11.1,38.29
-0.073,0.186,1.337,4.728,80.0,11.1,38.39
-0.078,0.207,1.337,4.728,80.0,11.1,38.47
