ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
-0.009,0.497,17.997,17.997,70.0,15.86,50.0
-0.026,0.104,18.026,18.019,70.0,10.22,50.04
0.219,0.435,17.982,17.984,70.0,10.17,49.98
0.159,0.373,17.896,17.925,70.0,10.15,49.88
0.065,0.083,17.923,17.972,70.0,10.19,49.9
0.169,0.083,6.78,9.455,70.0,10.19,36.24
0.344,0.104,6.163,8.959,70.0,10.17,35.51
0.238,0.083,5.955,8.829,70.0,10.18,35.24
0.109,0.104,5.855,8.796,70.0,10.18,35.2
0.096,0.166,5.802,8.81,70.0,10.17,35.29
0.053,0.124,5.742,8.8,70.0,10.18,35.33
0.0,0.145,5.71,8.79,70.0,10.18,35.31
-0.039,0.124,5.676,8.78,70.0,10.17,35.23
-0.064,0.145,5.667,8.769,70.0,10.17,35.09
-0.061,0.186,5.651,8.756,70.0,10.17,34.98
-0.158,0.207,5.622,8.743,70.0,10.17,34.86
0.259,0.477,5.588,8.732,70.0,10.17,34.8
-0.155,0.124,5.554,8.719,70.0,10.17,34.8
-0.127,0.166,5.516,8.708,70.0,10.17,34.9
-0.003,0.186,5.497,8.698,69.0,10.17,35.03
0.0,0.166,5.479,8.685,69.0,10.17,35.2
-0.194,0.145,5.46,8.675,69.0,10.17,35.43
-0.206,0.145,5.439,8.663,69.0,10.17,35.63
-0.204,0.124,5.432,8.653,69.0,10.17,35.75
-0.211,0.186,5.424,8.642,69.0,10.17,35.88
-0.18,0.166,5.414,8.631,69.0,10.17,36.12
-0.244,0.124,5.406,8.62,69.0,10.17,36.32
-0.207,0.331,5.398,8.608,69.0,10.17,36.48
-0.21,0.186,5.389,8.598,69.0,10.17,36.59
-0.171,0.166,5.383,8.588,69.0,10.17,36.64
-0.043,0.124,5.378,8.578,69.0,10.17,36.66
-0.006,0.104,5.373,8.569,69.0,10.17,36.66
-0.203,0.104,5.364,8.559,69.0,10.17,36.59
-0.21,0.124,5.363,8.559,69.0,10.17,36.59
-0.197,0.124,5.354,8.561,69.0,10.17,36.51
-0.205,0.124,5.347,8.577,69.0,10.17,36.41
-0.165,0.104,5.342,8.609,69.0,10.17,36.34
-0.219,0.145,5.334,8.657,69.0,10.17,36.28
0.195,0.456,5.328,8.722,69.0,10.17,36.22
-0.19,0.186,5.327,8.805,69.0,10.17,36.15
-0.147,0.124,5.325,8.903,69.0,10.17,36.09
-0.026,0.124,5.327,9.018,69.0,10.17,36.03
0.05,0.145,5.332,9.144,69.0,10.17,35.98
-0.149,0.104,5.339,9.284,69.0,10.17,35.92
-0.164,0.124,5.351,9.431,69.0,10.17,35.85
-0.155,0.104,5.367,9.583,69.0,10.17,35.78
-0.169,0.124,5.391,9.742,69.0,10.17,35.66
-0.172,0.145,5.416,9.914,69.0,10.17,35.59
-0.138,0.145,5.445,10.08,69.0,10.17,35.55
-0.205,0.124,5.481,10.234,69.0,10.17,35.53
0.23,0.518,5.521,10.388,69.0,10.17,35.52
-0.181,0.124,5.562,10.544,69.0,10.17,35.49
-0.144,0.124,5.608,10.687,69.0,10.16,35.49
-0.017,0.104,5.654,10.807,77.0,10.17,35.49
0.029,0.104,5.704,10.919,77.0,10.17,35.49
-0.164,0.124,5.755,11.014,77.0,10.17,35.49
-0.173,0.145,5.808,11.083,77.0,10.17,35.49
-0.167,0.104,5.856,11.14,77.0,10.17,35.47
-0.181,0.145,5.906,11.195,77.0,10.17,35.43
-0.188,0.166,5.953,11.24,77.0,10.17,35.4
-0.188,0.124,6.002,11.27,77.0,10.17,35.37
-0.157,0.104,6.043,11.276,77.0,10.16,35.36
-0.17,0.104,6.083,11.267,77.0,10.16,35.36
0.045,0.394,6.121,11.246,77.0,10.17,35.36
0.005,0.373,6.156,11.212,77.0,10.16,35.36
-0.158,0.083,6.187,11.17,77.0,10.17,35.36
-0.087,0.083,6.214,11.115,68.0,10.16,35.36
0.079,0.083,6.241,11.056,68.0,10.16,35.36
-0.036,0.145,6.262,10.991,68.0,10.16,35.36
-0.146,0.166,6.28,10.924,68.0,10.16,35.36
-0.143,0.124,6.296,10.861,68.0,10.16,35.36
-0.157,0.104,6.308,10.789,68.0,10.17,35.36
-0.189,0.145,6.315,10.716,68.0,10.16,35.33
-0.217,0.124,6.32,10.644,68.0,10.16,35.31
-0.249,0.124,6.324,10.575,68.0,10.16,35.31
-0.289,0.124,6.323,10.509,68.0,10.16,35.31
-0.316,0.124,6.318,10.451,68.0,10.16,35.31
-0.367,0.124,6.309,10.39,68.0,10.16,35.31
-0.32,0.394,6.295,10.332,68.0,10.16,35.31
-0.232,0.311,6.284,10.281,68.0,10.16,35.31
-0.558,0.145,6.273,10.234,68.0,10.16,35.31
-0.556,0.207,6.261,10.196,68.0,10.16,35.31
-0.449,0.145,6.242,10.162,62.0,10.16,35.3
-0.583,0.746,6.221,10.14,62.0,10.16,35.3
-0.769,2.155,6.201,10.129,62.0,10.16,35.31
-0.856,2.051,6.18,10.11,62.0,10.16,35.3
-0.91,0.518,6.159,10.104,62.0,10.16,35.3
-0.966,3.771,6.136,10.103,62.0,10.16,35.26
-1.003,0.787,6.113,10.053,62.0,10.16,35.21
-1.032,0.974,6.092,9.968,62.0,10.16,35.26
-1.028,1.367,6.072,9.889,62.0,10.16,35.69
-1.082,1.202,6.057,9.827,62.0,10.16,36.08
-0.751,2.507,6.039,9.768,62.0,10.16,36.38
-1.118,1.388,6.023,9.723,62.0,10.16,36.65
-1.134,1.057,6.007,9.68,62.0,10.16,36.85
-1.067,1.823,5.995,9.623,67.0,10.16,37.12
-0.91,0.891,5.981,9.558,67.0,10.16,37.31
-1.088,1.015,5.967,9.492,67.0,10.16,37.45
-1.195,0.787,5.952,9.434,67.0,10.16,37.64
-1.174,1.243,5.937,9.38,67.0,10.17,37.77
-1.178,1.243,5.922,9.332,67.0,10.16,37.8
-1.173,1.761,5.908,9.301,67.0,10.16,37.83
-1.143,0.932,5.89,9.298,67.0,10.17,37.87
-1.197,1.512,5.875,9.32,67.0,10.19,37.9
-0.758,0.622,5.86,9.323,67.0,10.21,37.9
-1.128,0.704,5.845,9.31,67.0,10.18,37.84
-1.052,1.098,5.83,9.28,67.0,10.16,37.73
-0.882,0.932,5.816,9.227,80.0,10.13,37.66
-0.824,0.787,5.799,9.135,80.0,10.13,37.57
-0.995,0.849,5.787,9.029,80.0,10.13,37.46
-0.972,0.849,5.776,8.951,80.0,10.13,37.35
-0.921,1.222,5.762,8.944,80.0,10.13,37.2
-0.901,1.222,5.749,9.009,80.0,10.13,37.0
-0.873,1.243,5.736,9.087,80.0,10.13,36.91
-0.827,0.497,5.721,9.098,80.0,10.15,36.87
-0.769,0.932,5.709,9.116,80.0,10.15,36.88
-0.694,1.305,5.696,9.112,80.0,10.15,36.93
-0.627,0.518,5.681,9.103,80.0,10.15,36.98
-0.499,0.808,5.67,9.097,80.0,10.15,37.03
-0.184,0.849,5.659,9.073,80.0,10.16,37.04
-0.485,0.684,5.648,9.046,80.0,10.16,37.04
-0.387,0.414,5.635,9.014,80.0,10.16,37.0
-0.192,0.87,5.623,8.987,63.0,10.16,36.86
-0.229,0.186,5.612,8.98,63.0,10.16,36.79
