link,start,end,stressful,keywords,id,youtube_id
https://youtu.be/xv_79-p6SPM,0:05,3:40,1,heights; animals,,
https://youtu.be/7wfYIMyS_dI,,,0,enya,,
https://youtu.be/qdRuKC0rLLQ,,,1,spiders,,
https://youtu.be/xroy2VFphi4,,,0,birds,,
https://youtu.be/sLisEEwYZvw,,,0,friends,,
https://youtu.be/ZUt6tpA2v-8,1:13,2:50,1,game of thrones,,
https://youtu.be/Suo6GDfSMrs,0:37,,0,guitar,,
https://youtu.be/ZuUQNM_WLAw,2:43,5:24,1,parkour; heights,,
https://youtu.be/v5mIy6_DMpc,0:10,5:28,1,insects,,
https://youtu.be/1prweT95Mo0,,2:35,0,cello,,
https://youtu.be/BLIL2gJVpD0,,,1,tightrope,,
https://youtu.be/fsDuEKf5tfM,0:50,4:50,1,knives,,
https://youtu.be/FTthEbYCYN8,,1:20,1,stabbing,,
https://youtu.be/qs_-emj1qR4,0:50,,0,trombone,,
https://youtu.be/XLalO5rHTYg,,3:12,0,cooking,,
https://youtu.be/uKA3UuGVpBQ,,,1,tightrope,,
https://youtu.be/8PNTZEv-e54,,,0,bali,,
https://youtu.be/pVqOcGEbZvo,,,1,blair witch,,
https://youtu.be/EKNuurf16tM,,,0,cello,,
https://youtu.be/qzN7d94JXjI,,,0,music,,
